Entity,Code,Year,"Hospital beds (per 1,000 people)"
Afghanistan,AFG,2017,0.38999998569488500
Albania,ALB,2013,2.890000104904180
Algeria,DZA,2015,1.899999976158140
Andorra,AND,2009,2.5
Angola,AGO,2005,0.800000011920929
Antigua and Barbuda,ATG,2017,2.890000104904180
Argentina,ARG,2017,4.989999771118160
Armenia,ARM,2015,4.199999809265140
Australia,AUS,2016,3.8399999141693100
Austria,AUT,2018,7.269999980926510
Azerbaijan,AZE,2014,4.820000171661380
Bahamas,BHS,2017,2.9600000381469700
Bahrain,BHR,2017,1.7400000095367400
Bangladesh,BGD,2016,0.7900000214576720
Barbados,BRB,2017,5.96999979019165
Belarus,BLR,2014,10.829999923706100
Belgium,BEL,2019,5.579999923706060
Belize,BLZ,2017,1.0399999618530300
Benin,BEN,2010,0.5
Bermuda,BMU,1996,6.300000190734860
Bhutan,BTN,2012,1.7400000095367400
Bolivia,BOL,2017,1.2899999618530300
Bosnia and Herzegovina,BIH,2014,3.490000009536740
Botswana,BWA,2010,1.7999999523162800
Brazil,BRA,2017,2.0899999141693100
Brunei,BRN,2017,2.8499999046325700
Bulgaria,BGR,2017,7.449999809265140
Burkina Faso,BFA,2010,0.4000000059604650
Burundi,BDI,2014,0.7900000214576720
Cambodia,KHM,2016,0.8999999761581420
Cameroon,CMR,2010,1.2999999523162800
Canada,CAN,2019,2.5199999809265100
Cape Verde,CPV,2010,2.0999999046325700
Cayman Islands,CYM,1990,3
Chad,TCD,2005,0.4000000059604650
Channel Islands,OWID_CIS,1981,10.595100402832000
Chile,CHL,2018,2.059999942779540
China,CHN,2017,4.309999942779540
Colombia,COL,2018,1.7100000381469700
Comoros,COM,2010,2.1600000858306900
Congo,COG,2005,1.600000023841860
Costa Rica,CRI,2019,1.100000023841860
Cote d'Ivoire,CIV,2006,0.4000000059604650
Croatia,HRV,2017,5.539999961853030
Cuba,CUB,2017,5.329999923706060
Cyprus,CYP,2017,3.4000000953674300
Czechia,CZE,2018,6.619999885559080
Democratic Republic of Congo,COD,2006,0.800000011920929
Denmark,DNK,2019,2.5999999046325700
